moffatcounty.colorado.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
chaffeecounty.org;No TLS;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .org;
gunnisoncounty.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
custer county;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; unknown;
eaglecounty.us;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
huerfano.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
co.teller.co.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
gilpincounty.org;TLS 1.2;certificate; expired;;certficate; not self-signed;Country Code; US;domain; .org;
colorado.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
mesacounty.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
summitcountyco.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
elbertcounty-co.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
clearcreekcounty.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
hinsdalecounty.colorado.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
yumacounty.net;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .net;
montezumacounty.org;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
kitcarsoncounty.colorado.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
lasanimascounty.colorado.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
montrosecounty.net;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .net;
alamosacounty.colorado.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
bacacountyco.gov;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
conejoscounty.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
saguachecounty.net;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .net;
archuletacounty.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
ouraycountyco.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
sedgwickcounty.colorado.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
parkco.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
co.grand.co.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
logancounty.colorado.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
fremontco.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
kiowacounty-colorado.com;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
garfield-county.com;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
county.pueblo.org;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
dolorescounty.org;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .org;
deltacounty.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
colorado.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
portal.ct.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
nccde.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
co.kent.de.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
sussexcountyde.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
delaware.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
broward.org;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
miamidade.gov;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
pinellascounty.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
brevardfl.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
hillsboroughcounty.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
palm beach;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; unknown;
polk-county.net;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .net;
duval couunty;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; unknown;
osceola.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
mywakulla.com;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
volusia.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
co.okaloosa.fl.us;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .us;
nassaucountyfl.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
co.okeechobee.fl.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
pascocountyfl.net;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .net;
ircgov.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
alachuacounty.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
hendryfla.net;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .net;
stlucieco.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
claycountygov.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
co.st-johns.fl.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
myglades.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
flaglercounty.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .org;
sumtercountyfl.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
myescambia.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
