6;moffatcounty.colorado.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;cert_type; EV;
2;chaffeecounty.org;No TLS;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .org;cert_type; non-EV;
5;gunnisoncounty.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;cert_type; EV;
5;denvergov.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;cert_type; EV;
7;eaglecounty.us;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;cert_type; non-EV;
6;huerfano.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;cert_type; non-EV;
6;co.teller.co.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;cert_type; non-EV;
4;gilpincounty.org;TLS 1.2;certificate; expired;;certficate; not self-signed;Country Code; US;domain; .org;cert_type; non-EV;
6;colorado.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;cert_type; EV;
6;mesacounty.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;cert_type; non-EV;
6;summitcountyco.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;cert_type; EV;
6;elbertcounty-co.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;cert_type; EV;
6;clearcreekcounty.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;cert_type; EV;
6;hinsdalecounty.colorado.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;cert_type; EV;
2;yumacounty.net;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .net;cert_type; non-EV;
6;montezumacounty.org;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;cert_type; non-EV;
6;kitcarsoncounty.colorado.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;cert_type; EV;
6;lasanimascounty.colorado.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;cert_type; EV;
5;montrosecounty.net;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .net;cert_type; EV;
6;alamosacounty.colorado.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;cert_type; EV;
7;bacacountyco.gov;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;cert_type; non-EV;
5;conejoscounty.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;cert_type; EV;
5;saguachecounty.net;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .net;cert_type; EV;
5;archuletacounty.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;cert_type; non-EV;
6;ouraycountyco.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;cert_type; non-EV;
6;sedgwickcounty.colorado.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;cert_type; EV;
6;parkco.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;cert_type; EV;
6;co.grand.co.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;cert_type; non-EV;
6;logancounty.colorado.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;cert_type; EV;
5;fremontco.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;cert_type; non-EV;
6;kiowacounty-colorado.com;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;cert_type; non-EV;
6;garfield-county.com;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;cert_type; EV;
6;county.pueblo.org;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;cert_type; non-EV;
2;dolorescounty.org;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .org;cert_type; non-EV;
